rowid,aggregated_crossings_id,pscis_crossing_id,my_crossing_reference,source,barrier_result,downstream_channel_width_meters,fill_depth_meters,fill_dpth_over,crossing_fix,span_input
90,1013903449,,13903449,pscis_phase1.xlsm,Barrier,0.7,1.1,-1.9,Replace Structure with Streambed Simulation CBS,3
91,2023100301,,2023100301,pscis_phase1.xlsm,Barrier,3.4,0.3,-2.7,Replace with New Open Bottom Structure,15
92,1013900052,,13900052,pscis_phase1.xlsm,Barrier,1.6,1,-2,Replace Structure with Streambed Simulation CBS,3
93,1013905581,,13905581,pscis_phase1.xlsm,Potential,1.1,1.2,-1.8,Replace Structure with Streambed Simulation CBS,3
94,1013900094,,13900094,pscis_phase1.xlsm,Barrier,1.8,1.2,-1.8,Replace Structure with Streambed Simulation CBS,3
95,1013903446,,13903446,pscis_phase1.xlsm,Barrier,2,1.6,-1.4,Replace with New Open Bottom Structure,15
96,1013900043,,13900043,pscis_phase1.xlsm,Barrier,2.3,4,1,Replace with New Open Bottom Structure,18
97,1013903617,,13903617,pscis_phase1.xlsm,Barrier,2.6,1.3,-1.7,Replace with New Open Bottom Structure,15
98,1013903184,,13903184,pscis_phase1.xlsm,Barrier,9.4,1,-2,Replace with New Open Bottom Structure,15
99,1013903183,,13903183,pscis_phase1.xlsm,Barrier,2.2,3.5,0.5,Replace with New Open Bottom Structure,16.5
100,1013900192,,13900192,pscis_phase1.xlsm,Barrier,2.3,2,-1,Replace with New Open Bottom Structure,15
101,1013900261,,13900261,pscis_phase1.xlsm,Barrier,2.5,7,4,Replace Structure with Streambed Simulation CBS,4.5
102,1013900260,,13900260,pscis_phase1.xlsm,Barrier,5.2,8,5,Replace with New Open Bottom Structure,30
103,1013900270,,13900270,pscis_phase1.xlsm,Barrier,3.7,6,3,Replace with New Open Bottom Structure,24
104,1013900196,,13900196,pscis_phase1.xlsm,Barrier,11.6,2,-1,Replace with New Open Bottom Structure,16.5
105,1013900198,,13900198,pscis_phase1.xlsm,Barrier,2.4,8,5,Replace Structure with Streambed Simulation CBS,4.5
106,1013903179,,13903179,pscis_phase1.xlsm,Barrier,1.6,3,0,Replace Structure with Streambed Simulation CBS,3
107,1013900200,,13900200,pscis_phase1.xlsm,Barrier,1.1,4,1,Replace Structure with Streambed Simulation CBS,3
108,1013900053,,13900053,pscis_phase1.xlsm,Potential,2,1,-2,Replace with New Open Bottom Structure,15
109,1013900201,,13900201,pscis_phase1.xlsm,Barrier,6.4,3.5,0.5,Replace with New Open Bottom Structure,16.5
110,1013900157,,13900157,pscis_phase1.xlsm,Barrier,6.7,9.9,6.9,Replace with New Open Bottom Structure,35.5
111,1013900019,,13900019,pscis_phase1.xlsm,Barrier,3.9,2,-1,Replace with New Open Bottom Structure,15
112,1013900066,,13900066,pscis_phase1.xlsm,Barrier,6.4,9.9,6.9,Replace with New Open Bottom Structure,35.5
113,1013900064,,13900064,pscis_phase1.xlsm,Barrier,6.2,9.9,6.9,Replace with New Open Bottom Structure,35.5
114,1022200151,,22200151,pscis_phase1.xlsm,Barrier,4,3,0,Replace with New Open Bottom Structure,15
115,1013900077,,13900077,pscis_phase1.xlsm,Barrier,6.7,1.5,-1.5,Replace with New Open Bottom Structure,15
